X,Y,Z,Name,City,Field_1,Name2,Public URL,Street
-122.401174710598,37.7894495203928,0,Montgomery St,San Francisco,Montgomery St,Montgomery St,"<a target=""_blank"" href=""https://www.bart.gov/stations/mont"">https://www.bart.gov/stations/mont</a>",598 Market St
-121.899073968031,37.7016817848902,0,Dublin/Pleasanton,"Pleasanton, CA 94588",Dublin/Pleasanton,Dublin/Pleasanton,"<a target=""_blank"" href=""https://www.bart.gov/stations/dubl"">https://www.bart.gov/stations/dubl</a>",5801 Owens Dr.
-122.26522683402,37.7972929525564,0,Lake Merritt,Oakland,Lake Merritt,Lake Merritt,"<a target=""_blank"" href=""https://www.bart.gov/stations/lake"">https://www.bart.gov/stations/lake</a>",800 Madison Street
-122.055978395909,37.928441795969,0,Pleasant Hill/Contra Costa Centre,Walnut Creek,Pleasant Hill/Contra Costa Centre,Pleasant Hill/Contra Costa Centre,"<a target=""_blank"" href=""https://www.bart.gov/stations/phil"">https://www.bart.gov/stations/phil</a>",1365 Treat Blvd
-122.267063488968,37.8290833007279,0,MacArthur,Oakland,MacArthur,MacArthur,"<a target=""_blank"" href=""https://www.bart.gov/stations/mcar"">https://www.bart.gov/stations/mcar</a>",555 40th Street
-122.407017658827,37.7848708966277,0,Powell St,San Francisco,Powell St,Powell St,"<a target=""_blank"" href=""https://www.bart.gov/stations/powl"">https://www.bart.gov/stations/powl</a>",899 Market St
-122.353060515874,37.936749886958,0,Richmond,"Richmond, CA 94801",Richmond,Richmond,"<a target=""_blank"" href=""https://www.bart.gov/stations/rich"">https://www.bart.gov/stations/rich</a>",1700 Nevin Ave
-122.251314633044,37.8447393101814,0,Rockridge,Oakland,Rockridge,Rockridge,"<a target=""_blank"" href=""https://www.bart.gov/stations/rock"">https://www.bart.gov/stations/rock</a>",5660 College Avenue
-122.392414075207,37.6159976796268,0,San Francisco International Airport,San Francisco International Airport,San Francisco International Airport,San Francisco International Airport,"<a target=""_blank"" href=""https://www.bart.gov/stations/sfia"">https://www.bart.gov/stations/sfia</a>",497 North Link Rd Concourse H 3rd Level
-122.39690099434,37.7928539137256,0,Embarcadero,San Francisco,Embarcadero,Embarcadero,"<a target=""_blank"" href=""https://www.bart.gov/stations/embr"">https://www.bart.gov/stations/embr</a>",298 Market St
-121.943980096383,38.0189141970877,0,Pittsburg/Bay Point,Bay Point,Pittsburg/Bay Point,Pittsburg/Bay Point,"<a target=""_blank"" href=""https://www.bart.gov/stations/pitt"">https://www.bart.gov/stations/pitt</a>",1700 West Leland Road
-122.07560669317,37.6907479760972,0,Castro Valley,Castro Valley,Castro Valley,Castro Valley,"<a target=""_blank"" href=""https://www.bart.gov/stations/cast"">https://www.bart.gov/stations/cast</a>",3301 Norbridge Ave
-122.124647334791,37.8931856833765,0,Lafayette,Lafayette,Lafayette,Lafayette,"<a target=""_blank"" href=""https://www.bart.gov/stations/lafy"">https://www.bart.gov/stations/lafy</a>",3601 Deer Hill Road
-122.443977662762,37.6642105389003,0,South San Francisco,South San Francisco,South San Francisco,South San Francisco,"<a target=""_blank"" href=""https://www.bart.gov/stations/ssan"">https://www.bart.gov/stations/ssan</a>",1333 Mission Rd
-122.26865397324,37.8084932872477,0,19th St/Oakland,Oakland,19th St/Oakland,19th St/Oakland,"<a target=""_blank"" href=""https://www.bart.gov/stations/19th"">https://www.bart.gov/stations/19th</a>",1900 Broadway
-122.269993962748,37.852574650835,0,Ashby,Berkeley,Ashby,Ashby,"<a target=""_blank"" href=""https://www.bart.gov/stations/ashb"">https://www.bart.gov/stations/ashb</a>",3100 Adeline Street
-122.224179418194,37.7748944568354,0,Fruitvale,Oakland,Fruitvale,Fruitvale,"<a target=""_blank"" href=""https://www.bart.gov/stations/ftvl"">https://www.bart.gov/stations/ftvl</a>",3401 East 12th Street
-122.21244017124,37.7129718188201,0,Oakland International Airport,Oakland,Oakland International Airport,Oakland International Airport,"<a target=""_blank"" href=""https://www.bart.gov/stations/oakl"">https://www.bart.gov/stations/oakl</a>",4 Airport Drive
-121.939433028157,37.5023349701207,0,Warm Springs/South Fremont,"Fremont, CA 94539",Warm Springs/South Fremont,Warm Springs/South Fremont,"<a target=""_blank"" href=""https://www.bart.gov/stations/warm"">https://www.bart.gov/stations/warm</a>",45193 Warm Springs Blvd
-122.196183018338,37.7523049650557,0,Coliseum/Airport Connector,Oakland,Coliseum/Airport Connector,Coliseum/Airport Connector,"<a target=""_blank"" href=""https://www.bart.gov/stations/oakl"">https://www.bart.gov/stations/oakl</a>",7200 San Leandro Street
-121.93281744729,38.0189366310123,0,eBART Transfer,Pittsburg,eBART Transfer,eBART Transfer,"<a target=""_blank"" href=""https://www.bart.gov/stations/pitt"">https://www.bart.gov/stations/pitt</a>",600 Canal Road
-121.889470156125,38.0169460634225,0,Pittsburg Center,Pittsburg,Pittsburg Center,Pittsburg Center,"<a target=""_blank"" href=""https://www.bart.gov/stations/pctr"">https://www.bart.gov/stations/pctr</a>",2099 Railroad Ave
-121.780433364526,37.995392729126,0,Antioch,Antioch,Antioch,Antioch,"<a target=""_blank"" href=""https://www.bart.gov/stations/antc"">https://www.bart.gov/stations/antc</a>",1600 Slatten Ranch Rd
-121.93281744729,38.0189366310123,0,eBART Transfer,Pittsburg,eBART Transfer,eBART Transfer,,600 Canal Road
