SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,003,California,Alpine County,5,1126,614,512,43,25,18,93,38,55,49,26,23,93,51,42,966,538,428,941,525,416,362,201,161,232,131,101,298,170,128,318,173,145,43,25,18,53,21,32,52,24,28,67,32,35,63,38,25,50,30,20,60,40,20,67,35,32,55,26,29,63,30,33,67,36,31,62,34,28,106,70,36,102,56,46,103,57,46,67,36,31,19,8,11,27,16,11,49.0,51.0,48.3
050,06,003,California,Alpine County,6,1099,603,496,44,27,17,82,36,46,45,23,22,88,47,41,952,530,422,928,517,411,361,208,153,239,142,97,280,156,124,321,172,149,44,27,17,41,17,24,52,23,29,55,28,27,67,38,29,54,37,17,63,40,23,66,36,30,56,29,27,62,31,31,61,29,32,67,39,28,90,57,33,110,60,50,90,49,41,72,39,33,23,7,16,26,17,9,49.4,49.3,49.5
050,06,005,California,Amador County,1,40497,22067,18430,1620,861,759,3166,1641,1525,1464,755,709,2198,1251,947,34981,19194,15787,34247,18810,15437,12655,7593,5062,9346,5771,3575,11679,6492,5187,11024,5296,5728,1620,861,759,1747,934,813,1772,891,881,1718,919,799,1591,903,688,2128,1249,879,2350,1416,934,2408,1469,939,2460,1637,823,2450,1540,910,2650,1565,1085,3178,1660,1518,3401,1727,1674,3562,1735,1827,3255,1560,1695,2018,1003,1015,1197,583,614,992,415,577,50.0,47.5,53.6
050,06,005,California,Amador County,2,40584,22104,18480,1595,838,757,3169,1648,1521,1472,757,715,2198,1258,940,35091,19248,15843,34348,18861,15487,12713,7628,5085,9400,5797,3603,11652,6480,5172,11098,5326,5772,1595,838,757,1755,937,818,1771,895,876,1721,922,799,1592,909,683,2134,1251,883,2370,1426,944,2416,1474,942,2480,1646,834,2442,1540,902,2648,1562,1086,3147,1640,1507,3415,1738,1677,3578,1746,1832,3271,1560,1711,2047,1019,1028,1204,586,618,998,415,583,50.0,47.5,53.7
050,06,005,California,Amador County,3,41245,22479,18766,1643,848,795,3177,1664,1513,1524,773,751,2189,1230,959,35689,19603,16086,34901,19194,15707,13144,7870,5274,9805,6047,3758,11596,6476,5120,11311,5441,5870,1643,848,795,1775,934,841,1776,910,866,1778,947,831,1561,876,685,2107,1252,855,2508,1499,1009,2538,1550,988,2652,1746,906,2424,1549,875,2641,1542,1099,3046,1619,1427,3485,1766,1719,3562,1760,1802,3354,1592,1762,2164,1063,1101,1226,593,633,1005,433,572,49.7,47.2,53.4
050,06,005,California,Amador County,4,41486,22634,18852,1717,880,837,3191,1694,1497,1529,747,782,2173,1226,947,35822,19695,16127,35049,19313,15736,13232,7904,5328,9925,6123,3802,11455,6439,5016,11496,5525,5971,1717,880,837,1775,937,838,1811,949,862,1775,926,849,1532,855,677,2065,1234,831,2551,1544,1007,2577,1589,988,2732,1756,976,2454,1591,863,2622,1537,1085,2905,1559,1346,3474,1752,1722,3539,1762,1777,3279,1563,1716,2391,1158,1233,1262,613,649,1025,429,596,49.5,47.0,53.3
050,06,005,California,Amador County,5,41798,22828,18970,1708,897,811,3263,1725,1538,1525,763,762,2260,1268,992,36074,19842,16232,35302,19443,15859,13509,8060,5449,10081,6198,3883,11275,6388,4887,11686,5589,6097,1708,897,811,1810,931,879,1810,963,847,1827,958,869,1601,904,697,2032,1208,824,2598,1578,1020,2661,1632,1029,2790,1780,1010,2506,1638,868,2577,1512,1065,2774,1491,1283,3418,1747,1671,3494,1738,1756,3239,1515,1724,2532,1214,1318,1370,664,706,1051,458,593,49.0,46.7,53.1
050,06,005,California,Amador County,6,42026,22969,19057,1718,894,824,3313,1744,1569,1536,771,765,2263,1262,1001,36278,19979,16299,35459,19560,15899,13672,8131,5541,10233,6280,3953,11155,6375,4780,11808,5643,6165,1718,894,824,1836,937,899,1837,989,848,1848,964,884,1591,887,704,2050,1228,822,2608,1575,1033,2724,1697,1027,2851,1780,1071,2637,1743,894,2520,1506,1014,2655,1435,1220,3343,1691,1652,3429,1720,1709,3213,1496,1717,2632,1252,1380,1461,701,760,1073,474,599,48.6,46.5,52.8
050,06,007,California,Butte County,1,211632,105362,106270,11427,5861,5566,22168,11441,10727,10012,5010,5002,30710,15419,15291,173038,85543,87495,168025,83050,84975,90349,46091,44258,52137,26924,25213,47750,23571,24179,37428,17136,20292,11427,5861,5566,12089,6294,5795,12589,6409,6180,15127,7489,7638,23085,11678,11407,14819,7677,7142,12655,6564,6091,13019,6701,6318,11644,5982,5662,10841,5519,5322,11057,5527,5530,12582,6055,6527,13270,6470,6800,12570,5973,6597,10271,4975,5296,6362,2920,3442,4003,1761,2242,4222,1507,2715,36.5,35.5,37.6
050,06,007,California,Butte County,2,210222,104656,105566,11289,5801,5488,21959,11332,10627,9985,4998,4987,30587,15352,15235,171985,85006,86979,166989,82525,84464,89959,45892,44067,51895,26812,25083,47237,23300,23937,37270,17061,20209,11289,5801,5488,11972,6238,5734,12495,6364,6131,15077,7437,7640,22987,11643,11344,14607,7567,7040,12708,6604,6104,12915,6629,6286,11665,6012,5653,10719,5455,5264,10998,5500,5498,12385,5947,6438,13135,6398,6737,12452,5920,6532,10272,4968,5304,6343,2913,3430,3996,1761,2235,4207,1499,2708,36.5,35.5,37.6
050,06,007,California,Butte County,3,206351,102724,103627,11014,5641,5373,21607,11125,10482,9978,5066,4912,28375,14277,14098,168728,83383,85345,163752,80892,82860,87857,44911,42946,52026,26890,25136,45850,22614,23236,37501,17111,20390,11014,5641,5373,11844,6110,5734,12285,6337,5948,13152,6561,6591,22679,11460,11219,14107,7296,6811,13196,6867,6329,12703,6482,6221,12020,6245,5775,10394,5268,5126,10992,5536,5456,11684,5603,6081,12780,6207,6573,12242,5808,6434,10676,5100,5576,6520,2994,3526,4037,1768,2269,4026,1441,2585,37.0,35.9,38.1
050,06,007,California,Butte County,4,207384,103140,104244,10831,5547,5284,21521,11097,10424,9935,5086,4849,30574,15273,15301,170046,83897,86149,165097,81410,83687,90100,45915,44185,52071,26843,25228,44525,21967,22558,37927,17327,20600,10831,5547,5284,11886,6124,5762,12115,6260,5855,15112,7503,7609,22917,11569,11348,13776,7120,6656,13597,7031,6566,12444,6329,6115,12254,6363,5891,10334,5219,5115,10844,5482,5362,11112,5353,5759,12235,5913,6322,12130,5760,6370,10527,4961,5566,7181,3309,3872,4157,1862,2295,3932,1435,2497,36.5,35.3,37.6
050,06,007,California,Butte County,5,207354,103066,104288,10613,5504,5109,21646,11157,10489,9957,5091,4866,30507,15180,15327,170139,83875,86264,165138,81314,83824,90260,45954,44306,52260,26938,25322,43742,21498,22244,38629,17698,20931,10613,5504,5109,11959,6125,5834,12151,6287,5864,14947,7455,7492,23053,11561,11492,13688,7129,6559,13712,7048,6664,12307,6285,6022,12553,6476,6077,10510,5305,5205,10629,5379,5250,10652,5142,5510,11951,5672,6279,12053,5739,6314,10694,5010,5684,7559,3502,4057,4364,1959,2405,3959,1488,2471,36.5,35.3,37.7
050,06,007,California,Butte County,6,208334,103520,104814,10342,5435,4907,21687,11212,10475,9937,5096,4841,30611,15179,15432,171387,84381,87006,166368,81777,84591,90712,46070,44642,52631,27045,25586,43504,21412,22092,39622,18141,21481,10342,5435,4907,11922,6068,5854,12232,6394,5838,14767,7394,7373,23314,11631,11683,13613,7043,6570,13683,6985,6698,12508,6418,6090,12827,6599,6228,10868,5508,5360,10483,5332,5151,10432,5069,5363,11721,5503,6218,12037,5706,6331,10902,5078,5824,8026,3768,4258,4624,2048,2576,4033,1541,2492,36.6,35.6,37.9
050,06,009,California,Calaveras County,1,45284,22690,22594,1988,1055,933,3862,1952,1910,1884,997,887,2607,1360,1247,38513,19221,19292,37550,18686,18864,12975,6764,6211,8936,4633,4303,13216,6460,6756,12791,6233,6558,1988,1055,933,2103,1086,1017,2211,1092,1119,2181,1162,1019,1858,969,889,2112,1102,1010,2273,1139,1134,2377,1267,1110,2174,1125,1049,2252,1140,1112,2869,1404,1465,3698,1792,1906,4397,2124,2273,4191,2006,2185,3669,1855,1814,2399,1207,1192,1425,693,732,1107,472,635,52.0,50.8,53.1
050,06,009,California,Calaveras County,2,45350,22742,22608,1976,1059,917,3861,1956,1905,1894,993,901,2610,1365,1245,38582,19262,19320,37619,18734,18885,13019,6785,6234,8979,4656,4323,13167,6445,6722,12863,6268,6595,1976,1059,917,2105,1086,1019,2220,1099,1121,2177,1156,1021,1863,973,890,2107,1101,1006,2269,1135,1134,2391,1274,1117,2212,1146,1066,2215,1128,1087,2878,1411,1467,3676,1781,1895,4398,2125,2273,4198,2007,2191,3691,1865,1826,2417,1214,1203,1437,698,739,1120,484,636,52.0,50.8,53.2
050,06,009,California,Calaveras County,3,46262,23189,23073,2083,1118,965,3949,2028,1921,1946,990,956,2615,1383,1232,39233,19558,19675,38284,19053,19231,13548,7020,6528,9495,4884,4611,12931,6376,6555,13243,6410,6833,2083,1118,965,2179,1133,1046,2278,1132,1146,2207,1169,1038,1846,967,879,2132,1103,1029,2394,1176,1218,2538,1329,1209,2431,1276,1155,2179,1141,1038,2867,1396,1471,3497,1712,1785,4388,2127,2261,4252,2010,2242,3837,1919,1918,2503,1251,1252,1472,718,754,1179,512,667,51.5,50.2,52.8
050,06,009,California,Calaveras County,4,46544,23297,23247,2086,1071,1015,4106,2117,1989,1972,980,992,2567,1339,1228,39353,19624,19729,38380,19129,19251,13819,7087,6732,9743,4998,4745,12599,6263,6336,13471,6529,6942,2086,1071,1015,2273,1186,1087,2296,1161,1135,2268,1167,1101,1808,922,886,2104,1097,1007,2442,1174,1268,2641,1383,1258,2556,1344,1212,2225,1200,1025,2785,1355,1430,3322,1629,1693,4267,2079,2188,4350,2058,2292,3672,1813,1859,2739,1385,1354,1474,722,752,1236,551,685,51.1,49.8,52.3
050,06,009,California,Calaveras County,5,46580,23295,23285,2050,1029,1021,4115,2111,2004,2004,1024,980,2585,1364,1221,39456,19653,19803,38411,19131,19280,13850,7092,6758,9751,4971,4780,12329,6089,6240,13746,6707,7039,2050,1029,1021,2305,1224,1081,2300,1154,1146,2283,1165,1118,1816,956,860,2047,1042,1005,2451,1188,1263,2657,1370,1287,2596,1371,1225,2296,1229,1067,2723,1345,1378,3179,1534,1645,4131,1981,2150,4358,2113,2245,3710,1792,1918,2821,1425,1396,1592,805,787,1265,572,693,51.0,49.6,52.3
