ZIP_CODE,HUD_AREA_CODE,CITY_STATE,RENT_STUDIO,RENT_STUDIO_90,RENT_STUDIO_110,RENT_1BD,RENT_1BD_90,RENT_1BD_110,RENT_2BD,RENT_2BD_90,RENT_2BD_110,RENT_3BD,RENT_3BD_90,RENT_3BD_110,RENT_4BD,RENT_4BD_90,RENT_4BD_110,GEO_ID,MEDIAN_INCOME_HOUSEHOLD_EST,TOTAL_HOUSEHOLDS_EST
94526,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2290,2061,2519,2610,2349,2871,3170,2853,3487,4050,3645,4455,4820,4338,5302,860Z200US94526,216974,11942
94530,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2210,1989,2431,2460,2214,2706,3010,2709,3311,3850,3465,4235,4560,4104,5016,860Z200US94530,127731,10923
94531,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2760,2484,3036,3070,2763,3377,3750,3375,4125,4800,4320,5280,5680,5112,6248,860Z200US94531,123428,13611
94536,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2640,2376,2904,2940,2646,3234,3590,3231,3949,4590,4131,5049,5440,4896,5984,860Z200US94536,156672,25211
94538,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2710,2439,2981,3010,2709,3311,3680,3312,4048,4710,4239,5181,5580,5022,6138,860Z200US94538,144451,23149
94539,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2980,2682,3278,3320,2988,3652,4050,3645,4455,5180,4662,5698,6140,5526,6754,860Z200US94539,235399,16876
94541,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2100,1890,2310,2330,2097,2563,2850,2565,3135,3640,3276,4004,4320,3888,4752,860Z200US94541,106556,21801
94542,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2320,2088,2552,2580,2322,2838,3150,2835,3465,4030,3627,4433,4770,4293,5247,860Z200US94542,131989,4866
94544,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2100,1890,2310,2330,2097,2563,2850,2565,3135,3640,3276,4004,4320,3888,4752,860Z200US94544,108358,22920
94545,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2250,2025,2475,2510,2259,2761,3060,2754,3366,3910,3519,4301,4640,4176,5104,860Z200US94545,115258,10097
94546,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2210,1989,2431,2460,2214,2706,3000,2700,3300,3840,3456,4224,4550,4095,5005,860Z200US94546,125780,15918
94547,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2710,2439,2981,3020,2718,3322,3690,3321,4059,4720,4248,5192,5590,5031,6149,860Z200US94547,130583,9319
94549,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2880,2592,3168,3210,2889,3531,3920,3528,4312,5010,4509,5511,5940,5346,6534,860Z200US94549,231195,10291
94550,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2430,2187,2673,2700,2430,2970,3300,2970,3630,4220,3798,4642,5000,4500,5500,860Z200US94550,177218,17524
94551,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2350,2115,2585,2620,2358,2882,3200,2880,3520,4090,3681,4499,4850,4365,5335,860Z200US94551,130705,14199
94552,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2460,2214,2706,2740,2466,3014,3340,3006,3674,4270,3843,4697,5060,4554,5566,860Z200US94552,205170,5016
94553,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2030,1827,2233,2260,2034,2486,2760,2484,3036,3530,3177,3883,4180,3762,4598,860Z200US94553,121023,19134
94555,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2900,2610,3190,3230,2907,3553,3940,3546,4334,5040,4536,5544,5970,5373,6567,860Z200US94555,213488,11784
94556,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2610,2349,2871,2910,2619,3201,3550,3195,3905,4540,4086,4994,5380,4842,5918,860Z200US94556,199300,5682
94560,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2510,2259,2761,2790,2511,3069,3410,3069,3751,4360,3924,4796,5170,4653,5687,860Z200US94560,164909,15184
94561,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1930,1737,2123,2150,1935,2365,2630,2367,2893,3360,3024,3696,3990,3591,4389,860Z200US94561,130859,13903
94563,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2410,2169,2651,2690,2421,2959,3280,2952,3608,4190,3771,4609,4970,4473,5467,860Z200US94563,"250,000+",7349
94564,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2270,2043,2497,2530,2277,2783,3090,2781,3399,3950,3555,4345,4680,4212,5148,860Z200US94564,120833,6882
94565,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1930,1737,2123,2150,1935,2365,2620,2358,2882,3350,3015,3685,3970,3573,4367,860Z200US94565,95035,30268
94566,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2440,2196,2684,2720,2448,2992,3320,2988,3652,4250,3825,4675,5030,4527,5533,860Z200US94566,187721,15923
